Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
12/3/2025,Charleston,,,Glenville,41/0,0.0,1
12/3/2025,Charleston,70,3.0,Glenville,11/60,2.0,1
12/3/2025,Charleston,70,1.0,Glenville,31,3.0,1
12/3/2025,Charleston,60,2.0,Glenville,31,2.0,1
12/3/2025,Charleston,0,0.0,Glenville,31,0.0,1
12/3/2025,Charleston,61,2.0,Glenville,60/60,2.0,1
12/3/2025,Charleston,61,3.0,Glenville,31,2.0,1
12/3/2025,Charleston,11,0.0,Glenville,41,3.0,1
12/3/2025,Charleston,0,0.0,Glenville,31/61,3.0,1
12/3/2025,Charleston,61,3.0,Glenville,30,0.0,1
12/3/2025,Charleston,31,0.0,Glenville,31,0.0,1
12/3/2025,Charleston,0,0.0,Glenville,61,2.0,1
12/3/2025,Charleston,41,3.0,Glenville,70,1.0,1
12/3/2025,Charleston,41/60,2.0,Glenville,11,0.0,1
12/3/2025,Charleston,0,0.0,Glenville,70,3.0,1
12/3/2025,Charleston,61,0.0,Glenville,60,0.0,1
12/3/2025,Charleston,60,2.0,Glenville,11,0.0,1
12/3/2025,Charleston,61,2.0,Glenville,31,0.0,1
12/3/2025,Charleston,60,2.0,Glenville,31,0.0,1
12/3/2025,Charleston,0,0.0,Glenville,70,2.0,1
12/3/2025,Charleston,11,0.0,Glenville,31/11,0.0,1
12/3/2025,Charleston,61,0.0,Glenville,11,0.0,1
12/3/2025,Charleston,60,2.0,Glenville,0,0.0,1
12/3/2025,Charleston,41,3.0,Glenville,11/70,1.0,1
12/3/2025,Charleston,31,0.0,Glenville,60,3.0,1
12/3/2025,Charleston,41,3.0,Glenville,31,0.0,1
12/3/2025,Charleston,0,0.0,Glenville,11,0.0,1
12/3/2025,Charleston,11,0.0,Glenville,0,0.0,1
12/3/2025,Charleston,61,2.0,Glenville,61,2.0,1
12/3/2025,Charleston,60,2.0,Glenville,61,3.0,1
12/3/2025,Charleston,61,3.0,Glenville,41,3.0,1
12/3/2025,Charleston,60,3.0,Glenville,31,2.0,1
12/3/2025,Charleston,41,0.0,Glenville,41,3.0,1
12/3/2025,Charleston,0,0.0,Glenville,60,2.0,1
12/3/2025,Charleston,0,0.0,Glenville,60,2.0,1
12/3/2025,Charleston,61,0.0,Glenville,31,0.0,1
12/3/2025,Charleston,60,3.0,Glenville,11,0.0,1
12/3/2025,Charleston,61,0.0,Glenville,60/31,2.0,1
12/3/2025,Charleston,41,0.0,Glenville,,,1
12/3/2025,Charleston,,,Glenville,41,0.0,2
12/3/2025,Charleston,60/70,2.0,Glenville,31,0.0,2
12/3/2025,Charleston,31,3.0,Glenville,31,3.0,2
12/3/2025,Charleston,61,3.0,Glenville,41,3.0,2
12/3/2025,Charleston,0,0.0,Glenville,0,0.0,2
12/3/2025,Charleston,60,2.0,Glenville,31,0.0,2
12/3/2025,Charleston,41,3.0,Glenville,70,1.0,2
12/3/2025,Charleston,31,0.0,Glenville,61/70,1.0,2
12/3/2025,Charleston,41,0.0,Glenville,31,3.0,2
12/3/2025,Charleston,41,0.0,Glenville,61,2.0,2
12/3/2025,Charleston,0,0.0,Glenville,11/61,2.0,2
12/3/2025,Charleston,31,2.0,Glenville,31,0.0,2
12/3/2025,Charleston,41,2.0,Glenville,31,0.0,2
12/3/2025,Charleston,40,3.0,Glenville,31,3.0,2
12/3/2025,Charleston,61,2.0,Glenville,31,2.0,2
12/3/2025,Charleston,61,2.0,Glenville,70,2.0,2
12/3/2025,Charleston,31/61,2.0,Glenville,70,2.0,2
12/3/2025,Charleston,41/60/70,2.0,Glenville,31,2.0,2
12/3/2025,Charleston,0,0.0,Glenville,41,2.0,2
12/3/2025,Charleston,11,0.0,Glenville,0,0.0,2
12/3/2025,Charleston,60,2.0,Glenville,11/61,3.0,2
12/3/2025,Charleston,0,0.0,Glenville,61,0.0,2
12/3/2025,Charleston,0,0.0,Glenville,61,2.0,2
12/3/2025,Charleston,61,0.0,Glenville,31,0.0,2
12/3/2025,Charleston,70,2.0,Glenville,61,2.0,2
12/3/2025,Charleston,61,0.0,Glenville,11,0.0,2
12/3/2025,Charleston,70,1.0,Glenville,0,0.0,2
12/3/2025,Charleston,70,2.0,Glenville,0,0.0,2
12/3/2025,Charleston,70,2.0,Glenville,11,0.0,2
12/3/2025,Charleston,0,0.0,Glenville,11/0,0.0,2
12/3/2025,Charleston,61/60,0.0,Glenville,70,2.0,2
12/3/2025,Charleston,61,3.0,Glenville,0,0.0,2
12/3/2025,Charleston,60,2.0,Glenville,70,2.0,2
12/3/2025,Charleston,41,3.0,Glenville,70,2.0,2
12/3/2025,Charleston,70,1.0,Glenville,31,0.0,2
12/3/2025,Charleston,70,2.0,Glenville,31,0.0,2
